ablation,orig_len,edit_len,n_residues_changed,abs_delta_mean,orig_toughness,edit_toughness,delta_toughness,orig_toughness_sd,edit_toughness_sd,delta_toughness_sd,orig_E,edit_E,delta_E,orig_E_sd,edit_E_sd,delta_E_sd,orig_strength,edit_strength,delta_strength,orig_strength_sd,edit_strength_sd,delta_strength_sd,orig_strain,edit_strain,delta_strain,orig_strain_sd,edit_strain_sd,delta_strain_sd,sequence_index
shuffle,387,387,387,0.12337499999999998,0.252,0.234,-0.017999999999999988,0.274,0.23,-0.04400000000000001,0.282,0.173,-0.10899999999999999,0.147,0.027,-0.12,0.326,0.114,-0.21200000000000002,0.304,0.089,-0.215,0.262,0.42,0.15799999999999997,0.257,0.368,0.11099999999999999,0
shuffle_blocks,387,387,387,0.155125,0.252,0.395,0.14300000000000002,0.274,0.615,0.34099999999999997,0.282,0.15,-0.13199999999999998,0.147,0.196,0.049000000000000016,0.326,0.513,0.187,0.304,0.506,0.202,0.262,0.316,0.05399999999999999,0.257,0.39,0.133,0
reverse,387,387,387,0.11049999999999999,0.252,0.291,0.03899999999999998,0.274,0.43,0.15599999999999997,0.282,0.32,0.038000000000000034,0.147,0.398,0.251,0.326,0.348,0.021999999999999964,0.304,0.582,0.27799999999999997,0.262,0.214,-0.048000000000000015,0.257,0.309,0.05199999999999999,0
knockout_polyA,387,372,15,0.016375000000000004,0.252,0.252,0.0,0.274,0.274,0.0,0.282,0.282,0.0,0.147,0.147,0.0,0.326,0.342,0.016000000000000014,0.304,0.241,-0.063,0.262,0.21,-0.05200000000000002,0.257,0.257,0.0,0
scattered_control_polyA,387,372,15,0.05925,0.252,0.294,0.04199999999999998,0.274,0.207,-0.06700000000000003,0.282,0.159,-0.12299999999999997,0.147,0.14,-0.0069999999999999785,0.326,0.282,-0.04400000000000004,0.304,0.147,-0.157,0.262,0.266,0.0040000000000000036,0.257,0.287,0.02999999999999997,0
block_control_polyA,387,372,15,0.11049999999999999,0.252,0.291,0.03899999999999998,0.274,0.43,0.15599999999999997,0.282,0.32,0.038000000000000034,0.147,0.398,0.251,0.326,0.348,0.021999999999999964,0.304,0.582,0.27799999999999997,0.262,0.214,-0.048000000000000015,0.257,0.309,0.05199999999999999,0
substitute_polyA,387,387,15,0.012375000000000004,0.252,0.252,0.0,0.274,0.274,0.0,0.282,0.282,0.0,0.147,0.147,0.0,0.326,0.326,0.0,0.304,0.382,0.07800000000000001,0.262,0.275,0.013000000000000012,0.257,0.265,0.008000000000000007,0
knockout_GGX,387,300,87,0.07900000000000001,0.252,0.27,0.018000000000000016,0.274,0.178,-0.09600000000000003,0.282,0.326,0.04400000000000004,0.147,0.336,0.18900000000000003,0.326,0.301,-0.025000000000000022,0.304,0.127,-0.177,0.262,0.26,-0.0020000000000000018,0.257,0.338,0.08100000000000002,0
scattered_control_GGX,387,300,87,0.11049999999999999,0.252,0.291,0.03899999999999998,0.274,0.43,0.15599999999999997,0.282,0.32,0.038000000000000034,0.147,0.398,0.251,0.326,0.348,0.021999999999999964,0.304,0.582,0.27799999999999997,0.262,0.214,-0.048000000000000015,0.257,0.309,0.05199999999999999,0
block_control_GGX,387,300,87,0.0,0.252,0.252,0.0,0.274,0.274,0.0,0.282,0.282,0.0,0.147,0.147,0.0,0.326,0.326,0.0,0.304,0.304,0.0,0.262,0.262,0.0,0.257,0.257,0.0,0
substitute_GGX,387,387,87,0.090625,0.252,0.2,-0.05199999999999999,0.274,0.141,-0.13300000000000003,0.282,0.153,-0.12899999999999998,0.147,0.122,-0.024999999999999994,0.326,0.288,-0.038000000000000034,0.304,0.127,-0.177,0.262,0.264,0.0020000000000000018,0.257,0.088,-0.169,0
