ablation,n,mean_abs_delta,median_abs_delta,sd_abs_delta,frac_of_reference_scale,vs_noise_floor,frac_below_noise_floor
reverse,30,0.1322333333333333,0.13775,0.0671972194921134,1.513573322650184,,0.06666666666666667
core_only,27,0.12683333333333333,0.11037500000000001,0.07764546676796646,1.4517636734771742,,0.037037037037037035
shuffle,30,0.12534166666666668,0.1229375,0.03376008682814187,1.4346897117457413,,0.0
shuffle_blocks,30,0.12453333333333334,0.11475,0.07445331600652731,1.4254373414220036,,0.06666666666666667
scattered_control_polyA,25,0.121725,0.11762500000000001,0.050084641899155735,1.3932925084415957,,0.0
random_matched,29,0.12112500000000002,0.121125,0.038390861659105435,1.3864247696445948,,0.0
scattered_control_GGX,26,0.11288461538461539,0.112625,0.053794747920648846,1.2921034211024482,,0.038461538461538464
knockout_GPGXX,22,0.09539772727272725,0.10518749999999999,0.08718456439300634,1.0919444545610628,,0.3181818181818182
scattered_control_GPGXX,22,0.08551136363636364,0.084375,0.0488432549610978,0.9787828493832043,,0.13636363636363635
knockout_polyA,25,0.0809,0.074125,0.08438582492289012,0.9260001144623133,,0.28
termini_only,28,0.07733035714285715,0.0504375,0.08386868465961769,0.885141156559917,,0.32142857142857145
substitute_GGX,26,0.076125,0.0821875,0.06551837528510608,0.871344359869513,,0.2692307692307692
block_control_polyA,25,0.073115,0.0925,0.06960760479885321,0.8368912035712242,,0.32
block_control_GPGXX,22,0.07202840909090909,0.0838125,0.0607469494116756,0.8244538326665036,,0.2727272727272727
knockout_GGX,26,0.0715048076923077,0.0671875,0.06793949036430534,0.8184605699342723,,0.38461538461538464
substitute_GPGXX,22,0.06901136363636363,0.05937500000000001,0.065128203571363,0.7899200324656743,,0.36363636363636365
substitute_polyA,25,0.061375,0.060500000000000005,0.05906704127162061,0.7025124477765695,,0.36
block_control_GGX,26,0.04005576923076923,3.749999999999934e-05,0.07199004351564607,0.4584876006497937,,0.5
