property,feature_set,model,r2_in_sample,r2_cv_mean,r2_cv_std,r2_cv_predict_mean_baseline
toughness,composition,ridge,0.02239598675917298,-0.002588221422467085,0.013601803022263374,-0.003381000013295177
toughness_sd,composition,ridge,0.013097110151914393,-0.01282264274660656,0.01310302089947371,-0.0030301746700887922
E,composition,ridge,0.02251733783946519,-0.0009072532391826149,0.01578965208503303,-0.008435108142382085
E_sd,composition,ridge,0.023801472497218645,0.0027978949689077435,0.01601791186470512,-0.004137564607814248
strength,composition,ridge,0.016542834532217165,-0.0024094055502078327,0.013020835624082547,-0.0011285469125407398
strength_sd,composition,ridge,0.025904595983094247,-0.005086671521843167,0.011299160940557282,-0.008742474112808596
strain,composition,ridge,0.04301213964651729,0.01161579605541172,0.016818100289636127,-0.012337153032000092
strain_sd,composition,ridge,0.009906935518853244,-0.005004551024929582,0.007130781074494708,-0.0013420578149247575
toughness,composition,gbm,0.8107953489725335,-0.18014432566764418,0.06069531222850722,-0.003381000013295177
toughness_sd,composition,gbm,0.8012654373384145,-0.2247472019250381,0.05648896640068674,-0.0030301746700887922
E,composition,gbm,0.8172164726292471,-0.14912528384890694,0.0763423218953723,-0.008435108142382085
E_sd,composition,gbm,0.8108073886506824,-0.29864896702567467,0.09270064351552251,-0.004137564607814248
strength,composition,gbm,0.7822104137115999,-0.15143299407345007,0.02644187145776685,-0.0011285469125407398
strength_sd,composition,gbm,0.799468692699006,-0.20054682035755594,0.045369390707630235,-0.008742474112808596
strain,composition,gbm,0.7850425921739969,-0.14053742666558722,0.08756806576134578,-0.012337153032000092
strain_sd,composition,gbm,0.783315117712523,-0.14111015358282225,0.02881339816094472,-0.0013420578149247575
toughness,composition+motifs,ridge,0.022350777177065462,0.0011878474457293065,0.009686375111967523,-0.003381000013295177
toughness_sd,composition+motifs,ridge,0.011940332088394956,-0.011341088406179024,0.01063108789490029,-0.0030301746700887922
E,composition+motifs,ridge,0.01888141864484083,-0.0018269457069471473,0.015909447850913982,-0.008435108142382085
E_sd,composition+motifs,ridge,0.022735581987123776,0.002001322453968424,0.015759013631547313,-0.004137564607814248
strength,composition+motifs,ridge,0.015919258434887174,-0.00015659536354495351,0.0097287082648543,-0.0011285469125407398
strength_sd,composition+motifs,ridge,0.024216363167718358,-0.0031254856538334374,0.009582175217928117,-0.008742474112808596
strain,composition+motifs,ridge,0.04232971587868917,0.014888553979101582,0.0183637154207904,-0.012337153032000092
strain_sd,composition+motifs,ridge,0.008829341988472406,-0.004662525550628826,0.0076270972423308795,-0.0013420578149247575
toughness,composition+motifs,gbm,0.8133013179570251,-0.16527944072580839,0.056832889491045244,-0.003381000013295177
toughness_sd,composition+motifs,gbm,0.8109833058785442,-0.19704215509566633,0.04447919949158272,-0.0030301746700887922
E,composition+motifs,gbm,0.817756525379117,-0.12304542794339487,0.07061108706970062,-0.008435108142382085
E_sd,composition+motifs,gbm,0.8103350859397046,-0.28643357431960037,0.109368765061308,-0.004137564607814248
strength,composition+motifs,gbm,0.7818441939892178,-0.15894169787295906,0.037281640876901966,-0.0011285469125407398
strength_sd,composition+motifs,gbm,0.794383733846189,-0.19888271480292125,0.05332989678641471,-0.008742474112808596
strain,composition+motifs,gbm,0.7786726096001095,-0.17312168107362935,0.10861564139817238,-0.012337153032000092
strain_sd,composition+motifs,gbm,0.7863683969469418,-0.11051446970651653,0.06205078594955153,-0.0013420578149247575
toughness,dipeptide,ridge,0.10024484608201811,0.01507459645884246,0.007493992232563343,-0.003381000013295177
toughness_sd,dipeptide,ridge,0.09240975323480993,0.0025260188764580247,0.016577975957080382,-0.0030301746700887922
E,dipeptide,ridge,0.10039304336934962,0.024648438124063966,0.01179420601243419,-0.008435108142382085
E_sd,dipeptide,ridge,0.09259009020633757,0.015790709687612002,0.01886115321780201,-0.004137564607814248
strength,dipeptide,ridge,0.0827475295533997,-0.004873786409487435,0.014925726585424381,-0.0011285469125407398
strength_sd,dipeptide,ridge,0.0842819944124773,-0.020139903484553922,0.011951879415544991,-0.008742474112808596
strain,dipeptide,ridge,0.11645133540879793,0.02234322345983033,0.03507780424513462,-0.012337153032000092
strain_sd,dipeptide,ridge,0.07741073852663616,0.003126077867229604,0.017591400957687204,-0.0013420578149247575
toughness,dipeptide,gbm,0.8774961206069789,-0.1525034632242442,0.08518376587212328,-0.003381000013295177
toughness_sd,dipeptide,gbm,0.8512512604271137,-0.177468801938921,0.041615132155677095,-0.0030301746700887922
E,dipeptide,gbm,0.8745620078598019,-0.07286164521984455,0.07392474056264062,-0.008435108142382085
E_sd,dipeptide,gbm,0.8681896728334391,-0.2801000695030984,0.11192588473300107,-0.004137564607814248
strength,dipeptide,gbm,0.8663379897708546,-0.16196519419734026,0.06739570506836709,-0.0011285469125407398
strength_sd,dipeptide,gbm,0.8822296308794316,-0.23610949448190666,0.055245686178540254,-0.008742474112808596
strain,dipeptide,gbm,0.8623465964822363,-0.1327197093659181,0.13056339082009694,-0.012337153032000092
strain_sd,dipeptide,gbm,0.8403836935991781,-0.1190810594046765,0.027958474063036903,-0.0013420578149247575
