set,length,max_containment_k6,max_jaccard_k6
F1,911,0.7987804878048781,0.5292929292929293
F1,1283,0.4005524861878453,0.30344827586206896
F1,407,0.9853372434017595,0.9710982658959537
F1,583,0.6659663865546218,0.5805860805860806
F1,454,0.948019801980198,0.9140811455847255
F1,239,1.0,1.0
F1,1020,0.014822134387351778,0.011078286558345642
F1,607,0.9943977591036415,0.9943977591036415
F1,373,0.8448275862068966,0.6591928251121076
F1,381,0.9760956175298805,0.953307392996109
F1,447,0.9455445544554455,0.8925233644859814
F1,324,0.9793103448275862,0.9594594594594594
F1,524,0.13186813186813187,0.08169440242057488
F1,324,0.32608695652173914,0.23415977961432508
F1,369,0.550561797752809,0.4024896265560166
F1,907,0.6904024767801857,0.6043360433604336
F1,583,1.0,0.974025974025974
F1,253,0.7988826815642458,0.6163793103448276
F1,222,0.9854368932038835,0.9854368932038835
F1,464,0.9753086419753086,0.9634146341463414
F1,730,0.9258426966292135,0.8917748917748918
F1,443,0.9521276595744681,0.910941475826972
F1,438,0.4256926952141058,0.3407258064516129
F1,470,1.0,1.0
F1,282,0.9745762711864406,0.8273381294964028
F1,260,0.9725490196078431,0.9393939393939394
F1,179,0.7251908396946565,0.49222797927461137
F1,399,0.9947643979057592,0.9895833333333334
F1,331,0.11598746081504702,0.05799373040752351
F1,197,0.953125,0.9104477611940298
F1,266,0.8870967741935484,0.7553191489361702
F1,627,0.8857142857142857,0.7725856697819314
F1,1002,0.38243626062322944,0.31105990783410137
F1,432,0.07328605200945626,0.04067321178120617
F1,406,1.0,0.9743589743589743
F1,342,0.9087719298245615,0.8222222222222222
F1,215,0.987012987012987,0.987012987012987
F1,531,0.6062176165803109,0.39568345323741005
F1,361,0.8168498168498168,0.6925465838509317
F1,505,0.776255707762557,0.6967213114754098
F2,382,0.8145161290322581,0.7661290322580645
F2,277,0.647887323943662,0.4808362369337979
F2,285,0.9854545454545455,0.9678571428571429
F2,407,0.7793427230046949,0.6747967479674797
F2,559,0.9621513944223108,0.927063339731286
F2,507,1.0,1.0
F2,454,0.9741602067183462,0.9496221662468514
F2,1022,1.0,1.0
F2,356,0.780564263322884,0.780564263322884
F2,301,0.42783505154639173,0.2967032967032967
F2,253,0.7654320987654321,0.5384615384615384
F2,776,0.7176470588235294,0.26180257510729615
F2,312,0.2255892255892256,0.13453815261044177
F2,687,0.17157712305025996,0.1370056497175141
F2,686,0.9974747474747475,0.992462311557789
F2,499,1.0,1.0
F2,266,0.9918032786885246,0.979757085020243
F2,269,0.9090909090909091,0.8540925266903915
F2,320,0.9760956175298805,0.953307392996109
F2,299,0.495,0.3321554770318021
F2,297,0.9897260273972602,0.9796610169491525
F2,724,0.3167701863354037,0.2892249527410208
F2,443,0.9834905660377359,0.9742990654205608
F2,641,0.7984189723320159,0.7137809187279152
F2,421,1.0,1.0
F2,348,0.9873417721518988,0.9780564263322884
F2,277,0.9227941176470589,0.9127272727272727
F2,234,0.8963414634146342,0.8305084745762712
F2,340,0.9735449735449735,0.9682539682539683
F2,238,0.09606986899563319,0.05034324942791762
F2,869,0.568904593639576,0.44868035190615835
F2,485,0.9700598802395209,0.9700598802395209
F2,394,0.7195121951219512,0.5673076923076923
F2,544,0.650375939849624,0.590443686006826
F2,228,0.9844559585492227,0.9844559585492227
F2,323,0.8905109489051095,0.7947882736156352
F2,548,0.886039886039886,0.8835227272727273
F2,495,0.9824046920821115,0.9654178674351584
F2,293,0.52,0.38741721854304634
F2,387,1.0,1.0
F3,693,0.9713114754098361,0.9595141700404858
F3,633,1.0,0.9767441860465116
F3,333,0.046296296296296294,0.02830188679245283
F3,636,1.0,0.9425837320574163
F3,565,0.5800604229607251,0.518918918918919
F3,205,0.9698492462311558,0.9414634146341463
F3,340,0.9363957597173145,0.8631921824104235
F3,370,1.0,1.0
F3,258,0.7278481012658228,0.5808080808080808
F3,623,0.08672566371681416,0.0639686684073107
F3,324,0.9655172413793104,0.9333333333333333
F3,324,0.97165991902834,0.9302325581395349
F3,283,0.9781021897810219,0.9571428571428572
F3,399,0.9947643979057592,0.9895833333333334
F3,273,0.5068493150684932,0.3436426116838488
F3,811,0.22826086956521738,0.1598984771573604
F3,1025,0.6629422718808193,0.5836065573770491
F3,283,0.9781021897810219,0.9571428571428572
F3,424,0.055288461538461536,0.03639240506329114
F3,531,0.6113989637305699,0.4007220216606498
F3,349,0.9680511182108626,0.946875
F3,397,0.7946768060836502,0.7490636704119851
F3,284,0.649402390438247,0.4527777777777778
F3,220,0.6726190476190477,0.5022421524663677
F3,704,0.11359724612736662,0.08930987821380243
F3,264,0.10546875,0.05955334987593052
F3,629,0.990909090909091,0.8384615384615385
F3,412,0.9228486646884273,0.8962536023054755
F3,261,1.0,0.9538461538461539
F3,251,1.0,1.0
F3,781,0.6456140350877193,0.5609756097560976
F3,374,0.9483870967741935,0.9074074074074074
F3,324,0.9448275862068966,0.8954248366013072
F3,210,0.22926829268292684,0.11904761904761904
F3,416,0.6923076923076923,0.6048387096774194
F3,927,0.8358974358974359,0.8059701492537313
F3,401,0.6360655737704918,0.5065274151436031
F3,370,0.9787985865724381,0.9551724137931035
F3,1035,0.7008547008547008,0.3698630136986301
F3,718,0.84375,0.8181818181818182
S1,371,1.0,1.0
S1,636,0.5866336633663366,0.5185995623632386
S1,539,1.0,1.0
S1,324,0.9689655172413794,0.939799331103679
S1,205,0.075,0.02912621359223301
S1,543,0.895397489539749,0.7561837455830389
S1,1241,0.7804054054054054,0.7804054054054054
S1,323,0.8745874587458746,0.8126984126984127
S1,324,0.9448275862068966,0.8954248366013072
