id,set,source,length,mw,instability_index,isoelectric_point,plddt_af2,r2,mae
1.1,1,generated,1096,91081.42,31.42,8.20,41.12,0.8899,0.0146
1.2,1,blast1,1713,165101.21,59.08,6.95,44.71,,
1.3,1,blast2,1984,170811.62,28.55,5.74,,,
2.1,2,generated,926,77765.79,32.81,8.27,41.78,0.5640,0.0947
2.2,2,blast1,1713,159478.20,47.48,9.87,40.93,,
2.3,2,blast2,1603,125416.40,13.67,9.41,,,
3.1,3,generated,312,29754.17,37.68,4.88,59.40,0.7167,0.1118
3.2,3,blast1,367,35845.68,32.74,5.77,53.80,,
3.3,3,blast2,279,26864.21,44.49,4.88,,,
4.1,4,generated,869,69899.23,22.41,7.84,46.62,0.7843,0.0835
4.2,4,blast1,648,52886.51,22.50,7.98,40.37,,
4.3,4,blast2,2357,202052.69,29.90,7.91,,,
5.1,5,generated,521,43816.17,28.23,6.10,46.48,0.7751,0.0174
5.2,5,blast1,1984,170811.62,28.55,5.74,38.40,,
5.3,5,blast2,2472,224113.32,29.07,9.55,,,
