set,id,length,n_tokens,paper_r2,novel_exact,our_r2,parse_failed,difference,pred_toughness,pred_toughness_sd,pred_E,pred_E_sd,pred_strength,pred_strength_sd,pred_strain,pred_strain_sd
S1,1.1,1096,198,0.8899,True,0.8899106133771703,False,1.0613377170232141e-05,0.278,0.274,0.182,0.156,0.299,0.215,0.299,0.25
S2,2.1,926,211,0.564,True,0.517615588208774,False,-0.04638441179122599,0.745,0.141,0.511,0.257,0.314,0.252,0.245,0.151
S3,3.1,312,81,0.7167,True,0.7166840555062949,False,-1.5944493705122298e-05,0.696,0.356,0.363,0.215,0.247,0.152,0.457,0.192
S4,4.1,869,163,0.7843,True,0.7843070738521064,False,7.0738521064095394e-06,0.745,0.141,0.511,0.177,0.316,0.243,0.316,0.247
S5,5.1,521,102,0.7751,True,0.7751290410214613,False,2.9041021461284622e-05,0.278,0.274,0.182,0.157,0.263,0.215,0.316,0.272
